date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-03-14,556.11,563.83,551.49,562.81,561.12,62660321,62660321,6.7,1.2,558.56,"March 14, 25",0.012
2025-03-13,558.49,559.11,549.68,551.42,549.77,74079414,74079414,-7.07,-1.27,554.675,"March 13, 25",-0.0127
2025-03-12,562.17,563.11,553.69,558.87,557.19,69588200,69588200,-3.3,-0.58701,559.46,"March 12, 25",-0.0058701
2025-03-11,559.4,564.02,552.02,555.92,554.25,88102109,88102109,-3.48,-0.6221,557.84,"March 11, 25",-0.006221
2025-03-10,567.59,569.54,555.59,560.58,558.9,99326624,99326624,-7.01,-1.24,563.325,"March 10, 25",-0.0124
2025-03-07,570.9,577.39,565.63,575.92,574.19,81158816,81158816,5.02,0.87931,572.46,"March 07, 25",0.0087931
2025-03-06,575.48,580.17,570.12,572.71,570.99,80094900,80094900,-2.77,-0.48134,574.62,"March 06, 25",-0.0048134
2025-03-05,576.69,584.88,573.08,583.06,581.31,71230528,71230528,6.37,1.1,579.4275,"March 05, 25",0.011
2025-03-04,579.71,585.39,572.25,576.86,575.13,109648212,109648212,-2.85,-0.49163,578.5525,"March 04, 25",-0.0049163
2025-03-03,596.18,597.34,579.9,583.77,582.02,74249200,74249200,-12.41,-2.08,589.2975,"March 03, 25",-0.0208
2025-02-28,585.56,594.72,582.44,594.18,592.4,88744106,88744106,8.62,1.47,589.225,"February 28, 25",0.0147
2025-02-27,596.85,598.02,584.65,585.05,583.3,74196700,74196700,-11.8,-1.98,591.1425,"February 27, 25",-0.0198
2025-02-26,595.93,599.58,591.86,594.54,592.76,43321600,43321600,-1.39,-0.23325,595.4775,"February 26, 25",-0.0023325
2025-02-25,597.15,597.89,589.56,594.24,592.46,58266500,58266500,-2.91,-0.48731,594.71,"February 25, 25",-0.0048731
2025-02-24,602.02,603.03,596.49,597.21,595.42,50737213,50737213,-4.81,-0.79898,599.6875,"February 24, 25",-0.0079898
2025-02-21,610.16,610.3,599.47,599.94,598.14,76519818,76519818,-10.22,-1.67,604.9675,"February 21, 25",-0.0167
2025-02-20,611.54,611.68,607.02,610.38,608.55,36554002,36554002,-1.16,-0.18969,610.155,"February 20, 25",-0.0018969
2025-02-19,610.08,613.23,609.56,612.93,611.09,31011100,31011100,2.85,0.46715,611.45,"February 19, 25",0.0046715
2025-02-18,610.88,611.49,608.38,611.49,609.66,26749030,26749030,0.61,0.09985595,610.56,"February 18, 25",0.0009985595
2025-02-14,609.94,610.99,609.07,609.7,607.87,26910448,26910448,-0.24,-0.03934813,609.925,"February 14, 25",-0.0003934813
2025-02-13,604.48,609.94,603.2,609.73,607.9,40921300,40921300,5.25,0.86852,606.8375,"February 13, 25",0.0086852
2025-02-12,599.2,604.55,598.51,603.36,601.55,45076100,45076100,4.16,0.69426,601.405,"February 12, 25",0.0069426
2025-02-11,602.55,605.86,602.43,605.31,603.5,30056740,30056740,2.76,0.45805,604.0375,"February 11, 25",0.0045805
2025-02-10,604.03,605.5,602.74,604.85,603.04,26048714,26048714,0.82,0.13575,604.28,"February 10, 25",0.0013575
2025-02-07,606.89,608.13,600.05,600.77,598.97,50788516,50788516,-6.12,-1.01,603.96,"February 07, 25",-0.0101
2025-02-06,605.99,606.45,602.63,606.32,604.5,35771503,35771503,0.33,0.05445634,605.3475,"February 06, 25",0.0005445634
2025-02-05,600.64,604.37,598.58,604.22,602.41,30653149,30653149,3.58,0.59603,601.9525,"February 05, 25",0.0059603
2025-02-04,597.83,602.3,597.28,601.78,599.98,33457815,33457815,3.95,0.66072,599.7975,"February 04, 25",0.0066072
2025-02-03,592.67,600.29,590.49,597.77,595.98,65857248,65857248,5.1,0.86051,595.305,"February 03, 25",0.0086051
